"ITTER107","Territorio","TIPO_DATO4","Tipologia aggregato","BRANCA_ATTIVITAREV2","Ateco 2007","INQUINANTI","Elementi inquinanti/temi ambientali","FREQUENCY","Periodicità","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","AEHM_K","emissioni atmosferiche - metalli pesanti (chilogrammi)","C22_23","fabbricazione di articoli in gomma e materie plastiche e altri prodotti della lavorazione di minerali non metalliferi","CU","rame (Cu)","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AE_T_CO2EQ","emissioni atmosferiche -tonnellate CO2 equivalenti-","C22_23","fabbricazione di articoli in gomma e materie plastiche e altri prodotti della lavorazione di minerali non metalliferi","HFC","idrofluorocarburi","A","annuale","2021M1","Gen-2021","2019","2019",469423.4,"p","dato provvisorio"
"IT","Italia","AEEIS_T","emissioni atmosferiche - temi ambientali","C22_23","fabbricazione di articoli in gomma e materie plastiche e altri prodotti della lavorazione di minerali non metalliferi","POT","ozono troposferico (ton di potenziale di ozono troposferico POT)","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AE_T_CO2EQ","emissioni atmosferiche -tonnellate CO2 equivalenti-","C22_23","fabbricazione di articoli in gomma e materie plastiche e altri prodotti della lavorazione di minerali non metalliferi","NF3","trifloruro di azoto","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AE_T","emissioni atmosferiche - (tonnellate)","C22","fabbricazione di articoli in gomma e materie plastiche","PM10","particolato","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AEHM_K","emissioni atmosferiche - metalli pesanti (chilogrammi)","C22","fabbricazione di articoli in gomma e materie plastiche","AS","arsenico (As)","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AEHM_K","emissioni atmosferiche - metalli pesanti (chilogrammi)","C22","fabbricazione di articoli in gomma e materie plastiche","CU","rame (Cu)","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AEHM_K","emissioni atmosferiche - metalli pesanti (chilogrammi)","C22","fabbricazione di articoli in gomma e materie plastiche","PB","piombo (Pb)","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AE_T_CO2EQ","emissioni atmosferiche -tonnellate CO2 equivalenti-","C22","fabbricazione di articoli in gomma e materie plastiche","HFC","idrofluorocarburi","A","annuale","2021M1","Gen-2021","2019","2019",146732.8,"p","dato provvisorio"
"IT","Italia","AEEIS_T","emissioni atmosferiche - temi ambientali","C22","fabbricazione di articoli in gomma e materie plastiche","POT","ozono troposferico (ton di potenziale di ozono troposferico POT)","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
